"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"8t9lgx","14385","2","Guo Shungui","Ikebukuro West Gate Park","2","Sat, 11 Jun 2022 22:21:56 GMT","1654986116251","18","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"8tj6n1","12306","1","Durin","Genshin Impact","2","Sat, 11 Jun 2022 17:24:09 GMT","1654968249054","43","","","","No","No","burn","","3","0","2","385849280939950080","385849280939950080","386931476291256332","24","F","S","S","S","A","F","D","",""
"8tvj0h","37917","1","Mangetsu's Mother","Granbelm","4","Sat, 11 Jun 2022 09:24:43 GMT","1654939483923","13","","","","No","No","burn","","0","0","4","385849280939950080","385849280939950080","386931476291256332","5","F","S","S","S","F","F","D","",""
"8tmf9v","38248","1","Sae Fujiyama","Poco's Udon World","2","Sat, 11 Jun 2022 08:19:15 GMT","1654935555992","3","","","","No","No","","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"88xbj4","34597","1","West Tokyo Captain A","Saki: The Nationals","1","Sat, 11 Jun 2022 06:48:00 GMT","1654930080338","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"88s6x3","37693","1","Manari","Nakoruru","2","Sat, 11 Jun 2022 05:37:25 GMT","1654925845872","2","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"88gf9w","37932","1","Daji","Hozuki's Coolheadedness","2","Fri, 10 Jun 2022 23:41:18 GMT","1654904478298","4","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"88rk5f","18663","2","Misaki","Princess Connect! Re: Dive","2","Fri, 10 Jun 2022 21:56:50 GMT","1654898210951","31","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","18","F","S","S","S","A","F","D","",""
"88z9sp","1472","4","Maha","The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat","4","Fri, 10 Jun 2022 19:46:33 GMT","1654890393186","351","","","","No","No","fav","","184","0","4","375767369458647040","375767369458647040","386931476291256332","180","F","S","F","F","S","F","D","",""
"88z0kz","37859","1","Takahashi","Konohana Kitan","3","Fri, 10 Jun 2022 19:46:29 GMT","1654890389283","4","","","","No","No","burn","","0","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"88kznz","6458","3","Rita Ainsworth","The Pet Girl of Sakurasou","2","Fri, 10 Jun 2022 15:55:52 GMT","1654876552725","42","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","23","F","S","S","S","C","F","D","",""
"882pkq","37938","1","Saya Kogatana","Keijo!!!!!!!!","1","Fri, 10 Jun 2022 14:58:35 GMT","1654873115586","4","","","","No","No","keijo","","1","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"88h5tc","35263","1","Murakami Haruka","Fragtime","4","Fri, 10 Jun 2022 14:04:54 GMT","1654869894058","24","","","","No","No","burn","","3","0","4","385849280939950080","385849280939950080","386931476291256332","14","F","S","S","S","S","F","D","",""
"88vss8","1152","4","Shion Toumori","Strawberry Panic","3","Fri, 10 Jun 2022 12:36:57 GMT","1654864617128","84","","","","No","No","nice","","0","0","3","","385849280939950080","386931476291256332","40","F","S","S","F","F","F","D","",""
"880zkj","37869","1","Efera","Gude Crest - The Emblem of Gude","0","Fri, 10 Jun 2022 12:36:24 GMT","1654864584134","1","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","S","F","D","",""
"88vfmj","37794","1","Pascale Biquet","Song of Wind and Trees","4","Fri, 10 Jun 2022 11:51:51 GMT","1654861911392","3","","","","No","No","burn","","1","0","4","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"88vr8c","37837","1","Doohan","Cowboy Bebop","1","Fri, 10 Jun 2022 11:18:56 GMT","1654859936607","2","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"88mx90","9386","3","Naomi","Girls und Panzer","1","Fri, 10 Jun 2022 10:39:23 GMT","1654857563011","13","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","6","F","S","S","S","A","F","D","",""
"8l6994","38145","1","Kayo Yushima","Night Head Genesis","1","Fri, 10 Jun 2022 08:17:29 GMT","1654849049137","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"8lpkkk","37493","1","Tsukime","MAPS","0","Thu, 09 Jun 2022 22:38:00 GMT","1654814280502","1","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"8lpgc8","37683","1","Nayu","GATE (2016)","2","Thu, 09 Jun 2022 22:07:37 GMT","1654812457080","5","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","S","F","D","",""
"8lzptk","2183","4","Atsumu Matsuyuki","Anohana: The Flower We Saw That Day","2","Thu, 09 Jun 2022 21:30:38 GMT","1654810238350","54","","","","No","No","burn","","7","0","2","385849280939950080","385849280939950080","386931476291256332","30","F","S","S","S","A","F","D","",""
"8lwwvc","14578","2","Tsumugi Tsukioka","A3! Season Autumn & Winter","4","Thu, 09 Jun 2022 16:04:42 GMT","1654790682396","95","","","","No","No","","","5","0","4","385849280939950080","385849280939950080","386931476291256332","50","F","S","S","S","A","F","D","",""
