"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"9c3vkw","220","4","Chevalier d'Eon","Fate/Grand Order","3","Sun, 03 Apr 2022 12:22:06 GMT","1648988526367","170","","","","No","No","nice","","5","0","3","385849280939950080","385849280939950080","386931476291256332","104","F","S","S","S","A","F","C","",""
"9c1dkf","33347","1","Helena","Hellsing","4","Sun, 03 Apr 2022 11:12:17 GMT","1648984337865","30","","","","No","No","burn","","1","0","4","385849280939950080","385849280939950080","386931476291256332","18","F","S","S","S","A","F","D","",""
"9c1d2m","20203","1","Korai Hoshiumi","Haikyuu!! To the Top","2","Sun, 03 Apr 2022 10:38:06 GMT","1648982286065","56","","","","No","No","burn","","41","0","2","385849280939950080","385849280939950080","386931476291256332","29","F","S","S","S","B","F","D","",""
"9c1dh6","6329","3","Ako Suminoe","Kiss x Sis","0","Sun, 03 Apr 2022 10:38:02 GMT","1648982282631","13","","","","No","No","","","38","0","0","385849280939950080","385849280939950080","386931476291256332","6","F","S","S","S","S","F","D","",""
"9c17c9","33351","1","Ginchi's Mother","Arata the Legend","1","Sun, 03 Apr 2022 09:22:48 GMT","1648977768567","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","F","F","D","",""
"9c5tcw","16763","1","Purified Blood of the Demon King","Solo Leveling","2","Sun, 03 Apr 2022 08:30:06 GMT","1648974606860","22","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","C","F","D","",""
"967gwq","33242","1","Himeno Shirayuki","Okami-san & Her Seven Companions","2","Sat, 02 Apr 2022 23:06:24 GMT","1648940784622","5","","","","No","No","burn","","0","0","2","","385849280939950080","386931476291256332","1","F","S","S","F","B","F","D","",""
"967ghb","33345","1","Connely","Chain Chronicle","0","Sat, 02 Apr 2022 22:47:08 GMT","1648939628546","2","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"96l2p5","15094","1","Gazer","Fate/Grand Order","2","Sat, 02 Apr 2022 21:01:33 GMT","1648933293613","13","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","6","F","S","S","S","A","F","D","",""
"96l2bx","31581","1","Shouko Tanimoto","The Case Files of Jeweler Richard","4","Sat, 02 Apr 2022 20:17:21 GMT","1648930641080","21","","","","No","No","","","1","0","4","385849280939950080","385849280939950080","386931476291256332","11","F","S","S","S","F","F","D","",""
"963sj6","33302","1","Atsumi Miyagawa","Recorder and Randsell","2","Sat, 02 Apr 2022 18:56:57 GMT","1648925817534","2","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"963sh4","8791","2","Reaper Pin","The World Ends with You","1","Sat, 02 Apr 2022 18:03:43 GMT","1648922623116","11","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","5","F","S","S","S","B","F","D","",""
"96nj8n","33125","1","Silver Tail","Shaman King","2","Sat, 02 Apr 2022 15:15:18 GMT","1648912518051","3","","","","No","No","burn","","1","0","2","767496391081066497","385849280939950080","386931476291256332","1","F","S","S","F","F","F","D","",""
